joint_name,min_rad,max_rad
hip_roll_l_joint,-0.7854,0.7854
hip_pitch_l_joint,-2.7925,2.0944
hip_yaw_l_joint,-1.0472,1.0472
knee_pitch_l_joint,0.0,2.3911
ankle_pitch_l_joint,-1.2217,0.5236
ankle_roll_l_joint,-0.5236,0.5236
hip_roll_r_joint,-0.7854,0.7854
hip_pitch_r_joint,-2.7925,2.0944
hip_yaw_r_joint,-1.0472,1.0472
knee_pitch_r_joint,0.0,2.3911
ankle_pitch_r_joint,-1.2217,0.5236
ankle_roll_r_joint,-0.5236,0.5236
body_yaw_rjoint,-2.9671,3.1416
head_yaw_joint,-1.5708,1.5708
head_pitch_joint,-0.4363,0.4363
head_roll_joint,-0.4538,0.4538
shoulder_pitch_l_joint,-2.9671,2.9671
shoulder_roll_l_joint,-1.0472,1.8326
shoulder_yaw_l_joint,-2.9671,2.9671
elbow_pitch_l_joint,-2.618,0.2618
elbow_yaw_l_joint,-2.9671,2.9671
wrist_pitch_l_joint,-1.309,1.6581
wrist_roll_l_joint,-1.0472,0.7854
shoulder_pitch_r_rjoint,-2.9671,2.9671
shoulder_roll_r_rjoint,-1.8326,1.0472
shoulder_yaw_r_rjoint,-2.9671,2.9671
elbow_pitch_r_rjoint,-2.618,0.2618
elbow_yaw_r_rjoint,-2.9671,2.9671
wrist_pitch_r_rjoint,-1.309,1.6581
wrist_roll_r_rjoint,-0.7854,1.0472
left_thumb_1_joint,0.0,1.2462
left_thumb_2_joint,0.0,0.48
left_thumb_3_joint,0.0,0.3578
left_thumb_4_joint,0.0,0.2775
left_index_1_joint,0.0,1.333
left_index_2_joint,0.0,1.527
left_middle_1_joint,0.0,1.333
left_middle_2_joint,0.0,1.527
left_ring_1_joint,0.0,1.333
left_ring_2_joint,0.0,1.527
left_little_1_joint,0.0,1.333
left_little_2_joint,0.0,1.527
right_thumb_1_gjoint,0.0,1.2462
right_thumb_2_joint,0.0,0.48
right_thumb_3_joint,0.0,0.3578
right_thumb_4_joint,0.0,0.2775
right_index_1_gjoint,0.0,1.333
right_index_2_joint,0.0,1.527
right_middle_1_gjoint,0.0,1.333
right_middle_2_joint,0.0,1.527
right_ring_1_gjoint,0.0,1.333
right_ring_2_joint,0.0,1.527
right_little_1_gjoint,0.0,1.333
right_little_2_joint,0.0,1.527
