joint_name,min_deg,max_deg
hip_roll_l_joint,-45,45
hip_pitch_l_joint,-160,120
hip_yaw_l_joint,-60,60
knee_pitch_l_joint,0,137
ankle_pitch_l_joint,-70,30
ankle_roll_l_joint,-30,30
hip_roll_r_joint,-45,45
hip_pitch_r_joint,-160,120
hip_yaw_r_joint,-60,60
knee_pitch_r_joint,0,137
ankle_pitch_r_joint,-70,30
ankle_roll_r_joint,-30,30
body_yaw_rjoint,-170,180
head_yaw_joint,-90,90
head_pitch_joint,-25,25
head_roll_joint,-26,26
shoulder_pitch_l_joint,-170,170
shoulder_roll_l_joint,-60,105
shoulder_yaw_l_joint,-170,170
elbow_pitch_l_joint,-150,15
elbow_yaw_l_joint,-170,170
wrist_pitch_l_joint,-75,95
wrist_roll_l_joint,-60,45
shoulder_pitch_r_rjoint,-170,170
shoulder_roll_r_rjoint,-105,60
shoulder_yaw_r_rjoint,-170,170
elbow_pitch_r_rjoint,-150,15
elbow_yaw_r_rjoint,-170,170
wrist_pitch_r_rjoint,-75,95
wrist_roll_r_rjoint,-45,60
left_thumb_1_joint,0,71.4
left_thumb_2_joint,0,27.5
left_thumb_3_joint,0,20.5
left_thumb_4_joint,0,15.9
left_index_1_joint,0,76.4
left_index_2_joint,0,87.5
left_middle_1_joint,0,76.4
left_middle_2_joint,0,87.5
left_ring_1_joint,0,76.4
left_ring_2_joint,0,87.5
left_little_1_joint,0,76.4
left_little_2_joint,0,87.5
right_thumb_1_gjoint,0,71.4
right_thumb_2_joint,0,27.5
right_thumb_3_joint,0,20.5
right_thumb_4_joint,0,15.9
right_index_1_gjoint,0,76.4
right_index_2_joint,0,87.5
right_middle_1_gjoint,0,76.4
right_middle_2_joint,0,87.5
right_ring_1_gjoint,0,76.4
right_ring_2_joint,0,87.5
right_little_1_gjoint,0,76.4
right_little_2_joint,0,87.5
